bart_name,kaggle_name,kaggle_team_id,match_method,match_score
Ohio St.,Ohio St,1326,fuzzy,93.33333333333333
Kansas,Kansas,1242,fuzzy,100.0
Duke,Duke,1181,fuzzy,100.0
Texas,Texas,1400,fuzzy,100.0
Kentucky,Kentucky,1246,fuzzy,100.0
Pittsburgh,Pittsburgh,1338,fuzzy,100.0
Wisconsin,Wisconsin,1458,fuzzy,100.0
Notre Dame,Notre Dame,1323,fuzzy,100.0
Purdue,Purdue,1345,fuzzy,100.0
San Diego St.,San Diego St,1361,fuzzy,96.0
North Carolina,North Carolina,1314,fuzzy,100.0
Illinois,Illinois,1228,fuzzy,100.0
Connecticut,Connecticut,1163,fuzzy,100.0
Louisville,Louisville,1257,fuzzy,100.0
Syracuse,Syracuse,1393,fuzzy,100.0
BYU,BYU,1140,manual,100.0
Florida,Florida,1196,fuzzy,100.0
Washington,Washington,1449,fuzzy,100.0
West Virginia,West Virginia,1452,fuzzy,100.0
Arizona,Arizona,1112,fuzzy,100.0
Kansas St.,Kansas St,1243,fuzzy,94.73684210526316
Utah St.,Utah St,1429,fuzzy,93.33333333333333
Clemson,Clemson,1155,fuzzy,100.0
Cincinnati,Cincinnati,1153,fuzzy,100.0
UNLV,UNLV,1424,manual,100.0
Michigan,Michigan,1276,fuzzy,100.0
Wichita St.,Wichita St,1455,fuzzy,95.23809523809523
Gonzaga,Gonzaga,1211,fuzzy,100.0
St. John's,St John's,1385,manual,100.0
Virginia Tech,Virginia Tech,1439,fuzzy,100.0
Florida St.,Florida St,1199,fuzzy,95.23809523809523
Vanderbilt,Vanderbilt,1435,fuzzy,100.0
Marquette,Marquette,1266,fuzzy,100.0
Belmont,Belmont,1125,fuzzy,100.0
Villanova,Villanova,1437,fuzzy,100.0
Butler,Butler,1139,fuzzy,100.0
Georgetown,Georgetown,1207,fuzzy,100.0
Temple,Temple,1396,fuzzy,100.0
George Mason,George Mason,1206,fuzzy,100.0
Maryland,Maryland,1268,fuzzy,100.0
Missouri,Missouri,1281,fuzzy,100.0
Alabama,Alabama,1104,fuzzy,100.0
Georgia,Georgia,1208,fuzzy,100.0
UCLA,UCLA,1417,fuzzy,100.0
Penn St.,Penn St,1336,fuzzy,93.33333333333333
Saint Mary's,St Mary's CA,1388,manual,100.0
USC,USC,1425,manual,100.0
Xavier,Xavier,1462,fuzzy,100.0
Richmond,Richmond,1350,fuzzy,100.0
Northwestern,Northwestern,1321,fuzzy,100.0
Tennessee,Tennessee,1397,fuzzy,100.0
Michigan St.,Michigan St,1277,fuzzy,95.65217391304348
Washington St.,Washington St,1450,fuzzy,96.2962962962963
Old Dominion,Old Dominion,1330,fuzzy,100.0
Miami FL,Miami FL,1274,manual,100.0
New Mexico,New Mexico,1307,fuzzy,100.0
Seton Hall,Seton Hall,1371,fuzzy,100.0
Texas A&M,Texas A&M,1401,fuzzy,100.0
Minnesota,Minnesota,1278,fuzzy,100.0
Duquesne,Duquesne,1182,fuzzy,100.0
VCU,VCU,1433,manual,100.0
Colorado,Colorado,1160,fuzzy,100.0
Boston College,Boston College,1130,fuzzy,100.0
UTEP,UTEP,1431,manual,100.0
Oakland,Oakland,1324,fuzzy,100.0
UAB,UAB,1412,manual,100.0
Charleston,Charleston So,1149,fuzzy,86.95652173913044
Iona,Iona,1233,fuzzy,100.0
Southern Miss,Southern Miss,1379,fuzzy,100.0
Cleveland St.,Cleveland St,1156,fuzzy,96.0
California,California,1143,fuzzy,100.0
Nebraska,Nebraska,1304,fuzzy,100.0
Mississippi,Mississippi,1279,fuzzy,100.0
Missouri St.,Missouri St,1283,fuzzy,95.65217391304348
Oklahoma St.,Oklahoma St,1329,fuzzy,95.65217391304348
Oregon,Oregon,1332,fuzzy,100.0
Virginia,Virginia,1438,fuzzy,100.0
Colorado St.,Colorado St,1161,fuzzy,95.65217391304348
Baylor,Baylor,1124,fuzzy,100.0
Iowa St.,Iowa St,1235,fuzzy,93.33333333333333
Iowa,Iowa,1234,fuzzy,100.0
Princeton,Princeton,1343,fuzzy,100.0
Rutgers,Rutgers,1353,fuzzy,100.0
Wofford,Wofford,1459,fuzzy,100.0
Indiana,Indiana,1231,fuzzy,100.0
Creighton,Creighton,1166,fuzzy,100.0
Harvard,Harvard,1217,fuzzy,100.0
Marshall,Marshall,1267,fuzzy,100.0
Memphis,Memphis,1272,fuzzy,100.0
Arkansas,Arkansas,1116,fuzzy,100.0
Tulsa,Tulsa,1409,fuzzy,100.0
Drexel,Drexel,1180,fuzzy,100.0
Portland,Portland,1339,fuzzy,100.0
N.C. State,NC State,1301,fuzzy,88.88888888888889
Boise St.,Boise St,1129,fuzzy,94.11764705882352
Indiana St.,Indiana St,1232,fuzzy,95.23809523809523
Long Beach St.,Long Beach St,1253,fuzzy,96.2962962962963
Northern Iowa,Northern Iowa,1320,fuzzy,100.0
Georgia Tech,Georgia Tech,1210,fuzzy,100.0
Bucknell,Bucknell,1137,fuzzy,100.0
South Dakota St.,South Dakota,1377,fuzzy,85.71428571428572
Dayton,Dayton,1173,fuzzy,100.0
Mississippi St.,Mississippi St,1280,fuzzy,96.55172413793103
Fairfield,Fairfield,1193,fuzzy,100.0
East Tennessee St.,ETSU,1190,manual,100.0
Kent St.,Kent,1245,manual,100.0
Valparaiso,Valparaiso,1434,fuzzy,100.0
Stanford,Stanford,1390,fuzzy,100.0
UCF,UCF,1416,manual,100.0
Morehead St.,Morehead St,1287,fuzzy,95.65217391304348
South Florida,South Florida,1378,fuzzy,100.0
Wright St.,Wright St,1460,fuzzy,94.73684210526316
Providence,Providence,1344,fuzzy,100.0
Arizona St.,Arizona St,1113,fuzzy,95.23809523809523
Montana,Montana,1285,fuzzy,100.0
Santa Clara,Santa Clara,1365,fuzzy,100.0
Rhode Island,Rhode Island,1348,fuzzy,100.0
Texas Tech,Texas Tech,1403,fuzzy,100.0
Buffalo,Buffalo,1138,fuzzy,100.0
Saint Louis,St Louis,1387,manual,100.0
Akron,Akron,1103,fuzzy,100.0
Oral Roberts,Oral Roberts,1331,fuzzy,100.0
Detroit Mercy,Detroit,1178,manual,100.0
LIU,LIU Brooklyn,1254,manual,100.0
James Madison,James Madison,1241,fuzzy,100.0
Austin Peay,Austin Peay,1122,fuzzy,100.0
Rider,Rider,1351,fuzzy,100.0
Northern Colorado,N Colorado,1294,manual,100.0
St. Bonaventure,St Bonaventure,1382,manual,100.0
SMU,SMU,1374,manual,100.0
Saint Peter's,St Peter's,1389,fuzzy,86.95652173913044
Vermont,Vermont,1436,fuzzy,100.0
Ohio,Ohio,1325,fuzzy,100.0
Air Force,Air Force,1102,fuzzy,100.0
Murray St.,Murray St,1293,fuzzy,94.73684210526316
IU Indy,IUPUI,1237,manual,100.0
Loyola Chicago,Loyola-Chicago,1260,manual,100.0
Utah,Utah,1428,fuzzy,100.0
Milwaukee,WI Milwaukee,1454,manual,100.0
UC Santa Barbara,UC Santa Barbara,1364,manual,100.0
Idaho,Idaho,1225,fuzzy,100.0
San Francisco,San Francisco,1362,fuzzy,100.0
Oklahoma,Oklahoma,1328,fuzzy,100.0
Robert Morris,Robert Morris,1352,fuzzy,100.0
South Carolina,South Carolina,1376,fuzzy,100.0
Coastal Carolina,Coastal Car,1157,manual,100.0
Northern Arizona,Northern Arizona,1319,fuzzy,100.0
Pacific,Pacific,1334,fuzzy,100.0
Hawaii,Hawaii,1218,fuzzy,100.0
Rice,Rice,1349,fuzzy,100.0
Hofstra,Hofstra,1220,fuzzy,100.0
George Washington,G Washington,1203,manual,100.0
Davidson,Davidson,1172,fuzzy,100.0
Nevada,Nevada,1305,fuzzy,100.0
New Mexico St.,New Mexico St,1308,fuzzy,96.2962962962963
San Jose St.,San Jose St,1363,fuzzy,95.65217391304348
Western Michigan,W Michigan,1444,manual,100.0
Central Connecticut,Central Conn,1148,manual,100.0
East Carolina,East Carolina,1187,fuzzy,100.0
Quinnipiac,Quinnipiac,1346,fuzzy,100.0
Sam Houston St.,Sam Houston St,1358,fuzzy,96.55172413793103
